trait,level,variable,coefficient,se,z,p,n,logll,moran_I_resid,moran_p_sim,x_spec
conscientiousness_mean_z,dallas_texas,rho,0.07662279547127922,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,CONSTANT,-26.078633113183606,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,env_greenery_z,-0.17081391966457776,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,env_open_space_z,0.1469525099227668,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,env_building_z,0.11192293493672693,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,env_road_z,0.1641739325593773,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,env_active_infra_z,0.012809981398462636,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,env_active_presence_z,-0.2954540057025389,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,env_vehicle_presence_z,-1.2349218673324918,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,env_physical_boundaries_z,-0.3025398238315889,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,env_symbolic_us_flag_z,0.6103809293604548,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,env_surveillance_cctv_z,0.043046817500669715,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,visual_complexity_mean_z,-0.5802248645520844,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,us_census_male_share_z,0.07503436605200485,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,us_census_age_15_29_share_z,1.2430588023155253,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,us_census_age_30_44_share_z,0.1392280621471378,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,us_census_age_45_59_share_z,0.1279247232075922,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,us_census_age_60_plus_share_z,0.6804694580837566,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,us_census_population_density_km2_z,0.0926547637458136,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,acs_median_income_z,222.24003363294298,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,acs_racial_diversity_z,-0.11918853348838931,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
conscientiousness_mean_z,dallas_texas,W_conscientiousness_mean_z,0.07662279547127922,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only
