trait,level,variable,coefficient,se,z,p,n,logll,moran_I_resid,moran_p_sim,x_spec
agreeableness_mean_z,houston_texas,rho,0.4122875786563682,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,CONSTANT,51.07661348789835,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,env_greenery_z,0.16102727667392208,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,env_open_space_z,-0.0007944439687353408,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,env_building_z,0.09736184010966725,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,env_road_z,0.2599586625674214,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,env_active_infra_z,-0.336976473553129,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,env_active_presence_z,-0.13141807534919733,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,env_vehicle_presence_z,-0.0379562399190798,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,env_physical_boundaries_z,0.33028239414914384,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,env_symbolic_us_flag_z,-0.1555617042355248,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,env_surveillance_cctv_z,0.1505651382156074,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,visual_complexity_mean_z,0.05641279669231172,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,us_census_male_share_z,-0.16730219786608452,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,us_census_age_15_29_share_z,0.09769416282759698,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,us_census_age_30_44_share_z,-0.5846514418715383,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,us_census_age_45_59_share_z,-0.23718970066998807,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,us_census_age_60_plus_share_z,-0.12217686256049251,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,us_census_population_density_km2_z,-0.12297351138728896,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,acs_median_income_z,-418.5541173818346,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,acs_racial_diversity_z,0.10803905688440396,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
agreeableness_mean_z,houston_texas,W_agreeableness_mean_z,0.4122875786563682,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only
